channel_sales,forecast_cons_year,forecast_meter_rent_12m,forecast_price_energy_off_peak,forecast_price_energy_peak,forecast_price_pow_off_peak,has_gas,margin_gross_pow_ele,nb_prod_act,num_years_antig,origin_up,var_year_price_off_peak_var,var_year_price_peak_var,var_year_price_mid_peak_var,var_year_price_off_peak_fix,var_year_price_peak_fix,var_6m_price_off_peak_var,var_6m_price_peak_var,var_6m_price_mid_peak_var,var_6m_price_off_peak_fix,churn,date_activ_year,date_activ_month,date_activ_day,date_activ_dayofweek,date_activ_dayofyear,date_end_year,date_end_month,date_end_day,date_end_dayofweek,date_end_dayofyear,date_modif_prod_year,date_modif_prod_month,date_modif_prod_day,date_modif_prod_dayofweek,date_modif_prod_dayofyear,date_renewal_year,date_renewal_month,date_renewal_day,date_renewal_dayofweek,date_renewal_dayofyear,power_utilization_ratio,cons_vs_forecast,discount_impact,total_energy_usage
foosdfpfkusacimwkcsosbicdxkicaua,0,158.01,0.162033,0.084138,44.31137796,f,29.76,1,4,lxidpiddsbxsbosboudacockeimpuepw,6.26E-06,1.77E-07,0,3.82E-13,0,3.57E-06,9.45E-08,0,0,0,2012,2,11,5,42,2016,2,11,3,42,2012,2,11,5,42,2015,2,12,3,43,226.8055556,30015.59,0,35926
MISSING,2533,130.74,0.102772,0.093731,58.99595196,f,0,1,10,ldkssxwpmemidmecebumciepifcamkci,8.55E-06,2.37E-06,6.19E-07,0.008488484,0.003228048,5.60E-06,1.62E-06,0,0,0,2006,2,2,3,33,2016,2,2,1,33,2006,2,2,3,33,2015,2,9,0,40,96.95,21220.95,0,23268
MISSING,3254,131.76,0.115237,0.100123,40.606701,t,0.76,2,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,1.77E-05,4.61E-06,7.73E-10,3.53E-12,1.90E-12,1.11E-05,2.90E-06,4.86E-10,0,0,2010,1,13,2,13,2016,12,6,1,341,2010,1,13,2,13,2015,12,7,0,341,9944.099099,1983508.47,0,2334963
foosdfpfkusacimwkcsosbicdxkicaua,0,16.31,0.144902,0,44.31137796,f,24.42,1,7,ldkssxwpmemidmecebumciepifcamkci,2.63E-06,0,0,0.008380239,0,3.32E-06,0,0,0,0,2009,5,8,4,128,2016,5,8,6,129,2009,5,8,4,128,2015,5,14,3,134,89.72853535,13186.31,0,14213
usilxuppasemubllopkaafesmlibmsdf,760,13.78,0.186188,0,45.80687796,f,42.84,1,4,lxidpiddsbxsbosboudacockeimpuepw,0.000288483,0.001107173,0,0.338187544,0,0.000301364,0.001217891,0,0.372006,0,2012,2,23,3,54,2016,2,25,3,56,2015,12,17,3,351,2015,2,26,3,57,54.37262357,6953.07,0.192731276,8580
ewpakwlliwisiwduibdlfmalxowmwpci,0,16.64,0.145711,0,44.31137796,f,25.56,1,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,4.23E-06,0,0,0.008380239,0,3.32E-06,0,0,0,0,2010,5,19,2,139,2016,5,19,3,140,2010,5,19,2,139,2015,5,23,5,143,7.656129715,1081.88,0,1273
MISSING,2363,0,0.0006,0,0,t,29.64,2,9,lxidpiddsbxsbosboudacockeimpuepw,0,0,0,0,0,0,0,0,0,0,2007,1,31,2,31,2017,1,17,1,17,2007,1,31,2,31,2016,1,18,0,18,76.28367003,18125,0,18210
foosdfpfkusacimwkcsosbicdxkicaua,34,132.5,0.116509,0.101397,41.1052014,f,149.88,1,4,kamkkxfxxuwbdslkwifmmcsiusiuosws,2.87E-05,7.39E-06,4.37E-07,0.089888625,0.073085355,2.00E-05,5.12E-06,6.20E-07,0.131835855,1,2011,9,16,4,259,2016,9,16,4,260,2011,9,16,4,259,2015,9,17,3,260,5.284722222,3412.91,0,3805
foosdfpfkusacimwkcsosbicdxkicaua,876,16.32,0.144902,0,44.31137796,f,19.2,1,7,ldkssxwpmemidmecebumciepifcamkci,3.81E-06,0,0,0.008380216,0,3.32E-06,0,0,0,0,2009,5,18,0,138,2016,5,18,2,139,2009,5,18,0,138,2015,5,23,5,143,55.04234026,6046.74,0,6864
MISSING,233,15.5,0.144902,0,44.31137796,f,12.82,1,6,lxidpiddsbxsbosboudacockeimpuepw,4.02E-06,0,0,0.00646476,0,2.71E-06,0,0,0.009481719,0,2009,9,12,5,255,2016,9,12,0,256,2009,9,12,5,255,2015,9,13,6,256,16.74242424,2257.24,0,2652
foosdfpfkusacimwkcsosbicdxkicaua,0,17.31,0.162904,0.085646,44.31137796,f,11.42,1,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,6.45E-06,8.13E-07,0,0.006464779,0,2.91E-06,1.47E-06,0,0.009481719,0,2009,9,16,2,259,2016,9,16,4,260,2015,7,12,6,193,2015,9,17,3,260,147.3358586,20690.08,0,23338
foosdfpfkusacimwkcsosbicdxkicaua,0,21.87,0.165794,0.087899,44.31137796,f,31.64,1,4,lxidpiddsbxsbosboudacockeimpuepw,5.72E-06,2.67E-07,0,0.006464721,0,3.57E-06,9.45E-08,0,0,0,2012,3,26,0,86,2016,3,26,5,86,2012,3,26,0,86,2015,3,29,6,88,969.6280793,161143.18,0,161222
foosdfpfkusacimwkcsosbicdxkicaua,0,15.9,0.144902,0,44.31137796,f,9.92,1,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,5.67E-06,0,0,0.004788721,0,3.59E-06,0,0,0.008428194,1,2009,10,6,1,279,2016,10,6,3,280,2009,10,6,1,279,2015,10,9,4,282,36.71085859,4942.46,0,5815
lmkebamcaaclubfxadlmueccxoimlema,0,16.26,0.145711,0,44.31137796,f,12.82,1,5,kamkkxfxxuwbdslkwifmmcsiusiuosws,4.39E-06,0,0,0.006464769,0,2.84E-06,0,0,0.009481719,0,2010,9,7,1,250,2016,9,7,2,251,2010,9,7,1,250,2015,9,8,1,251,30.23989899,4073.85,0,4790
lmkebamcaaclubfxadlmueccxoimlema,3,131.39,0.11691,0.100572,40.606701,f,59.79,1,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,2.24E-05,5.39E-06,4.27E-07,0.007037517,0.002533506,1.11E-05,2.90E-06,4.86E-10,0,0,2010,5,7,4,127,2016,5,7,5,128,2010,5,7,4,127,2015,5,11,0,131,1025.042929,405235.8,0,405917
MISSING,0,16.11,0.146694,0,44.31137796,t,23.65,2,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,5.37E-06,0,0,0.006464721,0,3.32E-06,0,0,0,0,2010,3,4,3,63,2016,3,4,4,64,2010,3,4,3,63,2015,3,9,0,68,42.51207729,4902.69,0,20600
foosdfpfkusacimwkcsosbicdxkicaua,0,131.39,0.11286,0.096521,40.606701,f,57.48,1,3,lxidpiddsbxsbosboudacockeimpuepw,1.68E-05,3.40E-06,2.17E-06,0.006434301,0.002316348,1.11E-05,2.90E-06,4.86E-10,0,1,2013,4,26,4,116,2016,4,26,1,117,2013,4,26,4,116,2015,4,27,0,117,21.97826087,5494.4,0,6066
MISSING,680,16.91,0.141666,0,44.31137796,f,7.32,1,5,ldkssxwpmemidmecebumciepifcamkci,1.26E-05,0,0,0.008380242,0,1.08E-05,0,0,0.005267621,0,2010,12,17,4,351,2016,11,1,1,306,2015,11,1,6,305,2015,1,5,0,5,341.957756,56214.37,0,56858
usilxuppasemubllopkaafesmlibmsdf,0,38.12,0.163618,0.084973,45.30837756,f,11.84,1,5,ldkssxwpmemidmecebumciepifcamkci,1.34E-05,4.14E-06,0,3.49E-13,0,1.21E-05,6.28E-06,0,0,0,2010,12,2,3,336,2016,12,2,4,337,2015,11,1,6,305,2015,12,3,3,337,60.75987939,6784.49,0,7577
lmkebamcaaclubfxadlmueccxoimlema,6649,130.67,0.11285,0.095965,40.606701,t,28.17,2,6,lxidpiddsbxsbosboudacockeimpuepw,1.60E-05,3.91E-06,1.35E-06,0.005428942,0.001954419,1.11E-05,2.90E-06,4.86E-10,0,0,2010,1,12,1,12,2016,3,13,6,73,2010,1,12,1,12,2015,3,16,0,75,412.6719577,149416.02,0,166432
MISSING,2480,11.28,0.138773,0,44.31137796,t,26.88,3,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,5.35E-06,0,0,0.007661891,0,3.32E-06,0,0,0,0,2010,4,28,2,118,2016,4,28,3,119,2015,1,9,4,9,2015,4,29,2,119,77.47296986,11536.58,0,13565
foosdfpfkusacimwkcsosbicdxkicaua,0,128.54,0.116509,0.101397,40.606701,f,1.9,1,5,lxidpiddsbxsbosboudacockeimpuepw,1.44E-05,3.35E-06,7.91E-07,3.44E-12,1.85E-12,9.93E-06,3.01E-06,1.42E-06,0,0,2010,12,12,6,346,2016,12,12,0,347,2014,11,17,0,321,2015,12,14,0,348,164.138322,82365.67,0,86862
foosdfpfkusacimwkcsosbicdxkicaua,0,118.95,0.116509,0.101397,41.2713642,f,33.11,1,4,lxidpiddsbxsbosboudacockeimpuepw,1.77E-05,4.61E-06,7.73E-10,3.44E-12,1.85E-12,1.11E-05,2.90E-06,4.86E-10,0,0,2011,12,17,5,351,2016,12,17,5,352,2011,12,17,5,351,2015,12,20,6,354,12.07825203,2130.41,0,2377
lmkebamcaaclubfxadlmueccxoimlema,622,33.76,0.198077,0,45.80687796,f,34.62,1,5,ldkssxwpmemidmecebumciepifcamkci,0.000808719,0.001730258,0.000852364,4.328670495,89.75987692,3.32E-06,0,0,0,0,2011,6,30,3,181,2016,5,22,6,143,2015,5,22,4,142,2014,7,9,2,190,31.53066461,3249.86,0.20756675,3932
ewpakwlliwisiwduibdlfmalxowmwpci,798,146.47,0.115237,0.100123,40.9390266,t,26.4,3,3,lxidpiddsbxsbosboudacockeimpuepw,1.99E-05,4.19E-06,8.22E-08,0.037312346,0.028156615,1.27E-05,2.68E-06,1.54E-07,0.065669252,0,2012,10,11,3,285,2016,10,11,1,285,2012,10,11,3,285,2015,10,12,0,285,39.26346801,8390.21,0,53544
foosdfpfkusacimwkcsosbicdxkicaua,16835,71.96,0.143166,0,44.31137796,f,21.9,1,4,lxidpiddsbxsbosboudacockeimpuepw,8.81E-06,0.000608945,0,0.002633811,0,3.32E-06,0,0,0,0,2012,5,31,3,152,2016,5,31,1,152,2014,6,4,2,155,2015,6,1,0,152,793.8573232,121770.42,0,125747
usilxuppasemubllopkaafesmlibmsdf,0,19.45,0.143166,0,44.31137796,f,7.6,1,4,kamkkxfxxuwbdslkwifmmcsiusiuosws,6.36E-06,0,0,0,0,4.16E-06,0,0,0,0,2011,10,10,0,283,2016,10,10,0,284,2014,6,27,4,178,2015,10,11,6,284,359.502924,44457.34,0,49180
foosdfpfkusacimwkcsosbicdxkicaua,1215,20.31,0.143166,0,44.31137796,f,17.22,2,4,lxidpiddsbxsbosboudacockeimpuepw,5.15E-06,0,0,0.008380216,0,3.32E-06,0,0,0,0,2012,5,2,2,123,2016,5,2,0,123,2012,5,2,2,123,2015,5,3,6,123,167.3402617,18285.85,0,20868
foosdfpfkusacimwkcsosbicdxkicaua,0,129.6,0.114782,0.099665,41.1052014,t,24.6,2,4,lxidpiddsbxsbosboudacockeimpuepw,2.74E-05,8.89E-06,1.16E-06,0.036621107,0.029775637,1.97E-05,6.75E-06,1.76E-06,0.073242142,0,2011,11,15,1,319,2016,11,15,1,320,2015,11,1,6,305,2015,11,16,0,320,82.03950148,15510.74,0,160312
lmkebamcaaclubfxadlmueccxoimlema,0,16.92,0.144631,0,44.31137796,t,6.42,2,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,4.77E-06,0,0,0.002633801,0,3.23E-06,0,0,0.005267621,0,2009,11,13,4,317,2016,11,13,6,318,2009,11,13,4,317,2015,11,17,1,321,206.0326087,32188.9,0,894141
lmkebamcaaclubfxadlmueccxoimlema,3582,16.23,0.164057,0.086803,44.31137796,f,19.28,1,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,3.76E-06,9.05E-07,0,0.008619647,0,3.57E-06,9.45E-08,0,0,0,2010,6,11,4,162,2016,6,11,5,163,2010,6,11,4,162,2015,6,23,1,174,1572.544192,247433.41,0,249091
lmkebamcaaclubfxadlmueccxoimlema,1067,0,0.144149,0,44.31137796,f,29.76,1,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,5.14E-06,0,0,3.82E-13,0,3.32E-06,0,0,0,0,2010,1,21,3,21,2017,1,21,5,21,2010,1,21,3,21,2016,1,22,4,22,4320.902778,682487.73,0,684431
MISSING,1479,16.91,0.142881,0,45.30837756,f,13.26,1,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,1.52E-05,0.000608945,0,0.115596958,0,9.16E-07,0.001217891,0,0.231194131,0,2009,11,13,4,317,2016,11,13,6,318,2015,9,18,4,261,2015,11,15,6,319,1721.652874,213354.01,0,214697
lmkebamcaaclubfxadlmueccxoimlema,1652,130.3,0.120372,0.103487,40.606701,f,28.06,1,6,lxidpiddsbxsbosboudacockeimpuepw,1.55E-05,3.72E-06,1.78E-06,0.005428942,0.001954419,1.11E-05,2.90E-06,4.86E-10,0,0,2010,1,6,2,6,2016,3,7,0,67,2010,1,6,2,6,2015,3,9,0,68,166.3098388,39206.38,0,41481
lmkebamcaaclubfxadlmueccxoimlema,0,120.85,0.116339,0.099997,40.606701,t,27.86,2,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,2.19E-05,5.61E-06,7.61E-07,0.006434301,0.002316348,1.11E-05,2.90E-06,4.86E-10,0,0,2010,4,16,4,106,2016,4,16,5,107,2015,4,14,1,104,2015,4,17,4,107,206.8542569,55483.55,0,314324
foosdfpfkusacimwkcsosbicdxkicaua,2595,143.99,0.118636,0.10175,40.606701,f,37.44,1,3,lxidpiddsbxsbosboudacockeimpuepw,1.81E-05,4.91E-06,2.22E-07,0.004021438,0.001447718,1.11E-05,2.90E-06,4.86E-10,0,0,2013,2,15,4,46,2016,2,15,0,46,2013,2,15,4,46,2015,2,16,0,47,87.03666667,23389.64,0,26111
foosdfpfkusacimwkcsosbicdxkicaua,0,139.09,0.1169,0.100015,40.606701,f,49.44,1,6,lxidpiddsbxsbosboudacockeimpuepw,1.58E-05,3.96E-06,1.87E-06,0.004021438,0.001447718,1.11E-05,2.90E-06,4.86E-10,0,0,2010,2,24,2,55,2016,2,24,2,55,2010,2,24,2,55,2015,2,25,2,56,57.47727273,20544.82,0,22761
foosdfpfkusacimwkcsosbicdxkicaua,1042,142.84,0.1169,0.100015,40.606701,f,39.6,1,5,lxidpiddsbxsbosboudacockeimpuepw,1.58E-05,3.96E-06,1.87E-06,0.004021438,0.001447718,1.11E-05,2.90E-06,4.86E-10,0,0,2011,2,17,3,48,2016,2,17,2,48,2011,2,17,3,48,2015,2,18,2,49,57.20959596,12136.29,0,13593
usilxuppasemubllopkaafesmlibmsdf,475,17.34,0.145711,0,44.31137796,t,14.64,2,5,kamkkxfxxuwbdslkwifmmcsiusiuosws,3.76E-06,0,0,0.008380242,0,2.37E-06,0,0,0.005267621,0,2011,7,18,0,199,2016,7,18,0,200,2011,7,18,0,199,2015,7,19,6,200,22.93430844,2431.09,0,5713
foosdfpfkusacimwkcsosbicdxkicaua,583,14.6,0.141666,0,44.31137796,f,9.8,1,3,lxidpiddsbxsbosboudacockeimpuepw,1.62E-05,0,0,0,0,5.10E-06,0,0,0,0,2012,10,8,0,282,2016,10,8,5,282,2015,8,27,3,239,2015,10,9,4,282,50.92239186,6821.72,0,8005
foosdfpfkusacimwkcsosbicdxkicaua,4426,129.61,0.1169,0.100015,40.606701,f,24.96,1,4,lxidpiddsbxsbosboudacockeimpuepw,1.62E-05,4.01E-06,1.59E-06,0,0,1.11E-05,2.90E-06,4.86E-10,0,0,2012,2,1,2,32,2016,2,1,0,32,2014,9,30,1,273,2015,2,9,0,40,390.8933333,111083.36,0,117268
foosdfpfkusacimwkcsosbicdxkicaua,0,39.09,0.11691,0.100572,40.606701,f,22.26,1,3,lxidpiddsbxsbosboudacockeimpuepw,5.28E-05,3.72E-05,0.000473335,1.119447457,49.47802831,0.000109287,5.59E-05,0.000956611,2.170223106,0,2012,8,9,3,222,2016,8,9,1,222,2012,8,9,3,222,2015,8,10,0,222,1.38047138,295.16,0,328
lmkebamcaaclubfxadlmueccxoimlema,0,98.28,0.198096,0,46.30537836,f,26.54,1,4,kamkkxfxxuwbdslkwifmmcsiusiuosws,0.00110973,0.002287225,0.001173041,6.858377775,121.7190897,0.001811019,0.003223552,0.001745363,9.801197864,0,2012,4,10,1,101,2016,9,25,6,269,2015,9,21,0,264,2015,4,12,6,102,21.27437773,2333.19,0,2653
MISSING,28019,360.81,0.100092,0.091051,58.99595196,f,0.24,1,10,ldkssxwpmemidmecebumciepifcamkci,8.90E-06,2.54E-06,2.53E-07,9.43E-12,7.60E-12,5.60E-06,1.62E-06,0,0,0,2006,1,26,3,26,2017,1,26,3,26,2006,1,26,3,26,2016,1,27,2,27,270.8366667,296628.24,0,325004
ewpakwlliwisiwduibdlfmalxowmwpci,1801,132.08,0.115237,0.100123,40.606701,f,49.44,1,3,kamkkxfxxuwbdslkwifmmcsiusiuosws,1.93E-05,4.56E-06,1.77E-08,0,0,1.25E-05,2.87E-06,3.81E-08,0,0,2013,6,12,2,163,2016,2,26,4,57,2014,10,27,0,300,2015,2,27,4,58,52.61363636,18554.15,0,20835
ewpakwlliwisiwduibdlfmalxowmwpci,0,13.36,0.144731,0,44.31137796,f,31.2,1,5,kamkkxfxxuwbdslkwifmmcsiusiuosws,5.35E-06,0,0,2.95E-13,0,3.88E-06,0,0,0,0,2011,2,8,1,39,2016,2,8,0,39,2015,12,16,2,350,2015,2,9,0,40,65.49509238,9253.85,0,10890
lmkebamcaaclubfxadlmueccxoimlema,1829,129.61,0.115174,0.098837,40.606701,t,9.9,2,5,lxidpiddsbxsbosboudacockeimpuepw,1.64E-05,2.76E-06,2.16E-06,0.00643423,0.00231638,1.04E-05,1.92E-06,2.41E-06,0.007077419,0,2011,3,3,3,62,2016,8,3,2,216,2011,3,3,3,62,2015,8,4,1,216,32779.38319,6205636.47,0,6248636
usilxuppasemubllopkaafesmlibmsdf,0,38.24,0.11691,0.100572,40.606701,f,24.32,1,5,kamkkxfxxuwbdslkwifmmcsiusiuosws,5.93E-05,3.95E-05,0.000520471,1.197616917,54.07481985,0.000110574,5.43E-05,0.000969463,2.08629369,0,2011,6,1,2,152,2016,6,1,2,153,2011,6,1,2,152,2015,6,23,1,174,1.570283734,260.85,0,290
MISSING,6736,146.14,0.1169,0.100015,40.606701,f,36.84,1,6,lxidpiddsbxsbosboudacockeimpuepw,1.97E-05,5.83E-06,1.82E-08,0,0,1.11E-05,2.90E-06,4.86E-10,0,0,2010,2,5,4,36,2016,2,5,4,36,2014,6,25,2,176,2015,2,9,0,40,151.3753388,40562.12,0,44686
foosdfpfkusacimwkcsosbicdxkicaua,2346,130.68,0.116509,0.101397,40.606701,t,0.88,2,3,lxidpiddsbxsbosboudacockeimpuepw,1.60E-05,4.00E-06,4.37E-07,3.44E-12,1.85E-12,1.06E-05,3.12E-06,8.91E-07,0,0,2012,12,5,2,340,2016,12,5,0,340,2014,11,14,4,318,2015,12,7,0,341,108.5237752,24324.42,0,35606
ewpakwlliwisiwduibdlfmalxowmwpci,0,19.38,0.142819,0,44.31137796,f,21.9,1,3,lxidpiddsbxsbosboudacockeimpuepw,4.25E-06,0,0,0.008380239,0,3.32E-06,0,0,0,0,2013,5,3,4,123,2016,5,3,1,124,2013,5,3,4,123,2015,5,4,0,124,65.92171717,8898.03,0,10442
foosdfpfkusacimwkcsosbicdxkicaua,0,12.46,0.147506,0,46.30537836,f,25.96,1,3,lxidpiddsbxsbosboudacockeimpuepw,4.24E-06,0,0,0.718594675,0,3.01E-06,0,0,1.264727325,0,2012,10,18,3,292,2016,10,18,1,292,2012,10,18,3,292,2015,10,19,0,292,14.4,1833.46,0,2160
foosdfpfkusacimwkcsosbicdxkicaua,191,123.22,0.115237,0.100123,41.2713642,f,30.86,1,5,lxidpiddsbxsbosboudacockeimpuepw,1.77E-05,4.61E-06,7.73E-10,3.44E-12,1.85E-12,1.11E-05,2.90E-06,4.86E-10,0,0,2010,12,14,1,348,2016,12,14,2,349,2010,12,14,1,348,2015,12,16,2,350,9.47979798,1706.34,0,1877
foosdfpfkusacimwkcsosbicdxkicaua,2943,16.57,0.144149,0,44.31137796,f,29.64,1,3,lxidpiddsbxsbosboudacockeimpuepw,5.14E-06,0,0,3.82E-13,0,3.32E-06,0,0,0,0,2013,1,26,5,26,2017,1,26,3,26,2013,1,26,5,26,2016,1,27,2,27,398.5490732,60744.46,0,62958
MISSING,0,119.7,0.115182,0.098841,40.606701,f,17.34,1,5,kamkkxfxxuwbdslkwifmmcsiusiuosws,2.74E-05,7.94E-06,4.93E-07,0.007037455,0.002533533,1.61E-05,4.08E-06,2.61E-07,0,0,2010,8,6,4,218,2016,8,6,5,219,2015,7,11,5,192,2015,8,7,4,219,49.90740741,10579.14,0,11858
ewpakwlliwisiwduibdlfmalxowmwpci,0,16.48,0.144731,0,44.31137796,f,26.04,1,3,ldkssxwpmemidmecebumciepifcamkci,7.20E-06,0.000608945,0,2.18E-13,0,4.74E-06,0,0,0,0,2013,1,31,3,31,2016,1,31,6,31,2015,11,16,0,320,2015,2,1,6,32,145.328137,17086.52,0,18123
lmkebamcaaclubfxadlmueccxoimlema,1193,143.25,0.115174,0.098837,40.606701,f,24.38,1,4,kamkkxfxxuwbdslkwifmmcsiusiuosws,1.68E-05,3.40E-06,2.18E-06,0.006434301,0.002316348,1.11E-05,2.90E-06,4.86E-10,0,1,2012,4,13,4,104,2016,4,13,2,104,2015,11,11,2,315,2015,4,14,1,104,2963.680199,532144.5,0,533498
foosdfpfkusacimwkcsosbicdxkicaua,148,17.13,0.273963,0,59.26637796,f,155.58,1,3,lxidpiddsbxsbosboudacockeimpuepw,0.003591331,0,0,55.84605316,0,3.32E-06,0,0,0,0,2013,4,20,5,110,2016,4,20,2,111,2013,4,20,5,110,2015,4,21,1,111,22.5617581,2643.54,0,2813
MISSING,1319,131.76,0.115237,0.100123,40.606701,f,5.88,1,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,1.88E-05,4.40E-06,4.60E-08,0.002211738,0.000796268,1.20E-05,2.80E-06,9.70E-08,0.004423387,0,2009,11,7,5,311,2016,11,7,0,312,2009,11,7,5,311,2015,11,9,0,313,50.59397163,10236.58,0,11414
foosdfpfkusacimwkcsosbicdxkicaua,806,128.54,0.15441,0.130527,41.1052014,f,72.72,1,4,lxidpiddsbxsbosboudacockeimpuepw,2.21E-05,5.29E-06,1.97E-06,6.11E-14,7.39E-12,1.11E-05,2.90E-06,4.86E-10,0,0,2012,2,14,1,45,2016,2,26,4,57,2014,2,26,2,57,2015,2,27,4,58,46.80859594,10372.91,0.04048136,11675
foosdfpfkusacimwkcsosbicdxkicaua,0,19.29,0.145711,0,44.31137796,f,16.92,1,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,4.00E-06,0,0,0.008619667,0,3.32E-06,0,0,0,0,2010,6,8,1,159,2016,6,8,2,160,2010,6,8,1,159,2015,6,14,6,165,19.4096888,2057.05,0,2420
foosdfpfkusacimwkcsosbicdxkicaua,275,145.4,0.115182,0.098841,40.606701,f,41.84,1,4,lxidpiddsbxsbosboudacockeimpuepw,1.97E-05,3.82E-06,1.51E-06,0,0,1.11E-05,2.90E-06,4.86E-10,0,0,2012,6,22,4,174,2016,6,22,2,174,2015,5,22,4,142,2015,6,23,1,174,24.74116162,7007.69,0,7838
foosdfpfkusacimwkcsosbicdxkicaua,0,16.98,0.141666,0,44.31137796,f,8.48,1,4,lxidpiddsbxsbosboudacockeimpuepw,1.99E-05,0,0,0.004788714,0,1.25E-05,0,0,0.008428194,0,2011,10,7,4,280,2016,10,7,4,281,2015,8,27,3,239,2015,10,9,4,282,24.40265487,2814.41,0,3309
MISSING,358,144.95,0.11691,0.100572,40.606701,t,22.31,9,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,2.41E-05,5.69E-06,4.16E-07,0.007037428,0.002533545,1.51E-05,3.57E-06,2.62E-07,0.004423387,0,2010,7,5,0,186,2016,7,5,1,187,2010,7,5,0,186,2015,7,8,2,189,12422.14646,2459464.1,0,3003616
foosdfpfkusacimwkcsosbicdxkicaua,0,38.36,0.114088,0.098971,40.606701,t,39.03,2,3,lxidpiddsbxsbosboudacockeimpuepw,8.77E-05,5.81E-05,0.000876264,2.181359226,97.20229388,0.000172689,7.51E-05,0.001424162,3.419345288,0,2012,11,22,3,327,2016,11,22,1,327,2015,11,1,6,305,2015,11,23,0,327,39.02813416,18450.1,0,33834
lmkebamcaaclubfxadlmueccxoimlema,0,16.9,0.165793,0.088539,44.31137796,t,21.52,2,5,lxidpiddsbxsbosboudacockeimpuepw,3.08E-06,1.89E-06,0,0,0,3.57E-06,9.45E-08,0,0,0,2011,6,3,4,154,2016,6,3,4,155,2011,6,3,4,154,2015,6,8,0,159,17038.8952,2698793.2,0,3909175
lmkebamcaaclubfxadlmueccxoimlema,2268,16.38,0.143166,0,44.31137796,t,13.1,2,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,3.78E-06,0,0,0.008380226,0,2.38E-06,0,0,0.005267621,0,2010,7,13,1,194,2016,7,13,2,195,2010,7,13,1,194,2015,7,14,1,195,12388.60822,1540935.16,0,1806878
MISSING,0,38.55,0.165794,0.087899,44.31137796,f,34.68,1,6,ldkssxwpmemidmecebumciepifcamkci,4.95E-06,2.96E-06,0,3.93E-13,0,3.57E-06,9.45E-08,0,0,1,2010,2,16,1,47,2016,2,16,1,47,2010,2,16,1,47,2015,2,18,2,49,44.92037144,6598.36,0,7469
foosdfpfkusacimwkcsosbicdxkicaua,0,125.47,0.118646,0.102308,40.606701,f,46.42,1,5,lxidpiddsbxsbosboudacockeimpuepw,1.68E-05,3.39E-06,2.20E-06,0.006434301,0.002316348,1.11E-05,2.90E-06,4.86E-10,0,0,2011,4,20,2,110,2016,4,20,2,111,2011,4,20,2,110,2015,4,21,1,111,1559.740676,534220.75,0,535303
MISSING,707,24.65,0.16695,0.089695,44.31137796,f,22.52,1,6,lxidpiddsbxsbosboudacockeimpuepw,2.96E-06,1.57E-06,0,0.008619647,0,3.57E-06,9.45E-08,0,0,0,2010,6,17,3,168,2016,6,17,4,169,2010,6,17,3,168,2015,6,23,1,174,37.14395689,5353.48,0,7446
foosdfpfkusacimwkcsosbicdxkicaua,4566,143.81,0.11691,0.100572,40.606701,t,31.62,2,3,lxidpiddsbxsbosboudacockeimpuepw,1.68E-05,3.39E-06,2.19E-06,0.006434301,0.002316348,1.11E-05,2.90E-06,4.86E-10,0,0,2013,4,15,0,105,2016,4,15,4,106,2013,4,15,0,105,2015,4,16,3,106,12487.46819,3922150.49,0,5885446
ewpakwlliwisiwduibdlfmalxowmwpci,0,120.44,0.115761,0.099419,40.606701,f,37.92,1,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,2.70E-05,7.53E-06,2.30E-07,0.007238536,0.002605915,1.11E-05,2.90E-06,4.86E-10,0,1,2010,6,10,3,161,2016,6,10,4,162,2015,5,22,4,142,2015,6,14,6,165,46.32017544,9440.35,0,10561
foosdfpfkusacimwkcsosbicdxkicaua,76,145.18,0.115237,0.100123,41.2713642,f,96.75,1,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,1.88E-05,4.40E-06,4.60E-08,0.057350364,0.048694573,1.20E-05,2.80E-06,9.70E-08,0.114700275,0,2009,11,26,3,330,2016,11,26,5,331,2009,11,26,3,330,2015,11,27,4,331,1.381666667,749.04,0,829
MISSING,0,17.51,0.165794,0.087899,44.31137796,f,34.68,1,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,6.26E-06,1.76E-07,0,3.93E-13,0,3.57E-06,9.45E-08,0,0,0,2010,2,15,0,46,2016,2,15,0,46,2010,2,15,0,46,2015,2,16,0,47,37.22815627,5439.59,0,6190
